"Approach" "Accuracy_selection" "Specificity_selection" "Sensitivity_selection" "MCC_selection" "Accuracy_training" "Specificity_training" "Sensitivity_training" "MCC_training" "Accuracy_validation" "Specificity_validation" "Sensitivity_validation" "MCC_validation" "NbVarSelected" "NbVarInf" "VarSelected" "AIC" "coef_estimate" "std_estimate"
"1" "BASELINE" 0.12 0 1 0 0.878 0.873225152129817 0.882642998027613 0.755945275625736 0.856 0.86231884057971 0.850096711798839 0.71205492691764 25 3 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22" 1222.23632792487 "3.27215416891065;-2.22208227645384;0.550348685257398;0.0288851861785073;0.0968018256977546;-0.0609341315245199;-0.0472928382478374;-0.115923813629851;0.0316836867294085;0.0460787134327031;-0.0115822647429908;-0.0347418296480059;-0.0706720616035143;-0.0917409359777224;-0.0209298377670166;-0.0615834611145695;0.0390256718930255;0.00725490509846498;-0.15084271627089;0.0522050425959271;0.118478744483052;0.0689066726463834;0.0656334884939482;0.046180925236097;-0.0970298600552649" "0.157293281212765;0.122073124767255;0.0802242929379283;0.0750637256462197;0.0724528983450732;0.0732766770244133;0.0776685469092544;0.0766993869227853;0.0725908689964285;0.0732085001541872;0.0742036531453047;0.0768576109500792;0.0743510348223867;0.0736234396621354;0.0744938654449172;0.0741384802391463;0.0724624865863397;0.0760782541582417;0.0736665066296824;0.0739709097131082;0.0733875115074927;0.0764804807494277;0.0747842836470106;0.0773138295417031;0.0768827388676828"
"2" "BEST" 1 1 1 1 0.871 0.867139959432049 0.874753451676529 0.741940906155491 0.858 0.863354037267081 0.852998065764023 0.716008104018252 3 3 "x1;x2;x3" 1200.01922005498 "3.20245353322175;-2.16100264265387;0.540978036681319;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.153202830465687;0.118036409484502;0.0780792035808771;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"3" "CFS" 0.96 1 0.666666666666667 0.798549409504691 0.8725 0.874239350912779 0.870808678500986 0.744993263687368 0.849 0.855072463768116 0.843326885880077 0.698045819203041 2 2 "x1;x2" 1249.65294496551 "3.04764051883833;-2.07161673396219;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.145172855133243;0.113964412060354;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"4" "CHI2" 0.96 1 0.666666666666667 0.798549409504691 0.8725 0.874239350912779 0.870808678500986 0.744993263687368 0.849 0.855072463768116 0.843326885880077 0.698045819203041 2 2 "x1;x2" 1249.65294496551 "3.04764051883833;-2.07161673396219;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.145172855133243;0.113964412060354;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"5" "CONS" 0.96 1 0.666666666666667 0.798549409504691 0.8725 0.874239350912779 0.870808678500986 0.744993263687368 0.849 0.855072463768116 0.843326885880077 0.698045819203041 2 2 "x1;x2" 1249.65294496551 "3.04764051883833;-2.07161673396219;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.145172855133243;0.113964412060354;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"6" "IGR" 0.96 1 0.666666666666667 0.798549409504691 0.8725 0.874239350912779 0.870808678500986 0.744993263687368 0.849 0.855072463768116 0.843326885880077 0.698045819203041 2 2 "x1;x2" 1249.65294496551 "3.04764051883833;-2.07161673396219;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.145172855133243;0.113964412060354;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"7" "IG" 0.92 1 0.333333333333333 0.552770798392567 0.775 0.773833671399594 0.776134122287968 0.549941391959636 0.756 0.759834368530021 0.752417794970986 0.511981595853185 1 1 "x1" 1863.14805718105 "1.97343593785364;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0900232928902407;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"8" "ONER" 0.96 1 0.666666666666667 0.798549409504691 0.8725 0.874239350912779 0.870808678500986 0.744993263687368 0.849 0.855072463768116 0.843326885880077 0.698045819203041 2 2 "x1;x2" 1249.65294496551 "3.04764051883833;-2.07161673396219;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.145172855133243;0.113964412060354;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"9" "RELIEF" 0.92 0.954545454545455 0.666666666666667 0.621212121212121 0.8725 0.873225152129817 0.871794871794872 0.74497718057122 0.8485 0.853002070393375 0.844294003868472 0.696971334271943 3 2 "x1;x2;Noise10" 1251.04246981259 "3.05235009404283;-2.0752044221051;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.055937829865047;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.145477222278388;0.114246668662253;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0715802828084908;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"10" "RFI" 0.96 1 0.666666666666667 0.798549409504691 0.8725 0.874239350912779 0.870808678500986 0.744993263687368 0.849 0.855072463768116 0.843326885880077 0.698045819203041 2 2 "x1;x2" 1249.65294496551 "3.04764051883833;-2.07161673396219;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.145172855133243;0.113964412060354;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"11" "SU" 0.92 1 0.333333333333333 0.552770798392567 0.775 0.773833671399594 0.776134122287968 0.549941391959636 0.756 0.759834368530021 0.752417794970986 0.511981595853185 1 1 "x1" 1863.14805718105 "1.97343593785364;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0900232928902407;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"12" "SVM-RFE" 0.96 1 0.666666666666667 0.798549409504691 0.8725 0.874239350912779 0.870808678500986 0.744993263687368 0.849 0.855072463768116 0.843326885880077 0.698045819203041 2 2 "x1;x2" 1249.65294496551 "3.04764051883833;-2.07161673396219;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.145172855133243;0.113964412060354;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"13" "GAMMA_BACK" 1 1 1 1 0.871 0.867139959432049 0.874753451676529 0.741940906155491 0.858 0.863354037267081 0.852998065764023 0.716008104018252 3 3 "x1;x2;x3" 1200.01922005498 "3.20245353322175;-2.16100264265387;0.540978036681319;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.153202830465687;0.118036409484502;0.0780792035808771;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"14" "GAMMA_BF" 1 1 1 1 0.871 0.867139959432049 0.874753451676529 0.741940906155491 0.858 0.863354037267081 0.852998065764023 0.716008104018252 3 3 "x1;x2;x3" 1200.01922005498 "3.20245353322175;-2.16100264265387;0.540978036681319;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.153202830465687;0.118036409484502;0.0780792035808771;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"15" "GAMMA_FORW" 1 1 1 1 0.871 0.867139959432049 0.874753451676529 0.741940906155491 0.858 0.863354037267081 0.852998065764023 0.716008104018252 3 3 "x1;x2;x3" 1200.01922005498 "3.20245353322175;-2.16100264265387;0.540978036681319;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.153202830465687;0.118036409484502;0.0780792035808771;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"16" "GAMMA_HC" 1 1 1 1 0.871 0.867139959432049 0.874753451676529 0.741940906155491 0.858 0.863354037267081 0.852998065764023 0.716008104018252 3 3 "x1;x2;x3" 1200.01922005498 "3.20245353322175;-2.16100264265387;0.540978036681319;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.153202830465687;0.118036409484502;0.0780792035808771;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
