"Repetition" "Repartition" "Separation" "NbVar" "Time"
"1" 1 "equilibre" "faible" 50 25.8445148468018
"2" 2 "equilibre" "faible" 50 42.6642818450928
"3" 3 "equilibre" "faible" 50 58.3966579437256
"4" 4 "equilibre" "faible" 50 71.5758709907532
"5" 5 "equilibre" "faible" 50 87.6833398342133
"6" 6 "equilibre" "faible" 50 101.638700962067
"7" 7 "equilibre" "faible" 50 116.872586965561
"8" 8 "equilibre" "faible" 50 131.476305961609
"9" 9 "equilibre" "faible" 50 145.793725013733
"10" 10 "equilibre" "faible" 50 160.586598873138
"11" 11 "equilibre" "faible" 50 174.301473855972
"12" 12 "equilibre" "faible" 50 187.899124860764
"13" 13 "equilibre" "faible" 50 202.278028011322
"14" 14 "equilibre" "faible" 50 216.293221950531
"15" 15 "equilibre" "faible" 50 230.476425886154
"16" 16 "equilibre" "faible" 50 244.254698991776
"17" 17 "equilibre" "faible" 50 258.980695962906
"18" 18 "equilibre" "faible" 50 273.50124502182
"19" 19 "equilibre" "faible" 50 288.915118932724
"20" 20 "equilibre" "faible" 50 303.866461038589
"21" 21 "equilibre" "faible" 50 318.546133995056
"22" 22 "equilibre" "faible" 50 334.108917951584
"23" 23 "equilibre" "faible" 50 348.140287876129
"24" 24 "equilibre" "faible" 50 363.49084186554
"25" 25 "equilibre" "faible" 50 377.8862388134
"26" 26 "equilibre" "faible" 50 393.234701871872
"27" 27 "equilibre" "faible" 50 407.682504892349
"28" 28 "equilibre" "faible" 50 423.669330835342
"29" 29 "equilibre" "faible" 50 439.112375974655
"30" 30 "equilibre" "faible" 50 452.188957929611
"31" 31 "equilibre" "faible" 50 467.622860908508
"32" 32 "equilibre" "faible" 50 481.245697021484
"33" 33 "equilibre" "faible" 50 495.409916877747
"34" 34 "equilibre" "faible" 50 510.929458856583
"35" 35 "equilibre" "faible" 50 525.839790821075
"36" 36 "equilibre" "faible" 50 540.307556867599
"37" 37 "equilibre" "faible" 50 554.445251941681
"38" 38 "equilibre" "faible" 50 568.867147922516
"39" 39 "equilibre" "faible" 50 582.426538944244
"40" 40 "equilibre" "faible" 50 598.281451940536
"41" 41 "equilibre" "faible" 50 611.572896957397
"42" 42 "equilibre" "faible" 50 625.818024873734
"43" 43 "equilibre" "faible" 50 641.136126041412
"44" 44 "equilibre" "faible" 50 654.666344881058
"45" 45 "equilibre" "faible" 50 668.828161001205
"46" 46 "equilibre" "faible" 50 685.38697886467
"47" 47 "equilibre" "faible" 50 699.404784917831
"48" 48 "equilibre" "faible" 50 714.399910926819
"49" 49 "equilibre" "faible" 50 729.367524862289
"50" 50 "equilibre" "faible" 50 745.366818904877
"51" 1 "desequilibre" "faible" 50 13.9578590393066
"52" 2 "desequilibre" "faible" 50 31.3326921463013
